08:43:00, Front door contact sensor, on
08:43:18, Couch motion sensor, on
08:43:18, Couch motion sensor, off
08:43:18, Couch motion sensor, on
08:43:18, Couch motion sensor, off
08:43:18, Couch motion sensor, on
08:43:18, Couch motion sensor, off
08:43:19, Couch motion sensor, on
08:43:19, Couch motion sensor, off
08:43:19, Couch motion sensor, on
08:43:19, Couch motion sensor, off
08:43:19, Couch motion sensor, on
08:43:19, Couch motion sensor, off
08:43:19, Couch motion sensor, on
08:43:19, Couch motion sensor, off
08:43:19, Couch motion sensor, on
08:43:19, Couch motion sensor, off
08:43:20, Couch motion sensor, on
08:43:21, Couch motion sensor, off
08:43:21, Couch motion sensor, on
08:43:21, Couch motion sensor, off
08:43:21, Couch motion sensor, on
08:43:21, Couch motion sensor, off
08:43:21, Couch motion sensor, on
08:43:21, Couch motion sensor, off
08:43:21, Couch motion sensor, on
08:43:21, Couch motion sensor, off
08:43:21, Couch motion sensor, on
08:43:21, Couch motion sensor, off
08:43:21, Couch motion sensor, on
08:43:21, Couch motion sensor, off
08:43:21, Couch motion sensor, on
08:43:21, Couch motion sensor, off
08:43:21, Couch motion sensor, on
08:43:21, TV remote control RFID tag, on
08:43:21, TV remote control RFID tag, off
08:43:21, TV remote control RFID tag, on
08:43:21, TV remote control RFID tag, off
08:43:24, TV remote control RFID tag, on
08:43:24, Couch motion sensor, off
08:43:24, Couch motion sensor, on
08:43:24, Couch motion sensor, off
08:43:24, TV remote control RFID tag, off
08:43:24, Couch motion sensor, on
08:43:24, TV remote control RFID tag, on
08:43:24, TV remote control RFID tag, off
08:43:25, Couch motion sensor, off
08:43:25, Couch motion sensor, on
08:43:25, Couch motion sensor, off
08:43:25, Couch motion sensor, on
08:43:25, Couch motion sensor, off
08:43:25, Couch motion sensor, on
08:43:26, Couch motion sensor, off
08:43:26, Couch motion sensor, on
08:43:26, Couch motion sensor, off
08:43:26, Couch motion sensor, on
08:43:26, Couch motion sensor, off
08:43:26, Couch motion sensor, on
08:43:27, Couch motion sensor, off
08:43:27, Couch motion sensor, on
08:43:27, Couch motion sensor, off
08:43:27, Couch motion sensor, on
08:43:27, Couch motion sensor, off
08:43:27, Couch motion sensor, on
08:43:27, Couch motion sensor, off
08:43:27, Couch motion sensor, on
08:43:28, Couch motion sensor, off
08:43:28, Couch motion sensor, on
08:43:28, Couch motion sensor, off
08:43:28, Couch motion sensor, on
08:43:28, Couch motion sensor, off
08:43:28, Couch motion sensor, on
08:43:28, Couch motion sensor, off
08:43:28, Couch motion sensor, on
08:43:29, Couch motion sensor, off
08:43:29, Couch motion sensor, on
08:43:29, Couch motion sensor, off
08:43:29, Couch motion sensor, on
08:43:29, Couch motion sensor, off
08:43:29, Couch motion sensor, on
08:43:29, Couch motion sensor, off
08:43:29, Couch motion sensor, on
08:43:30, Couch motion sensor, off
08:43:30, Couch motion sensor, on
08:43:30, Couch motion sensor, off
08:43:30, Couch motion sensor, on
08:43:30, Couch motion sensor, off
08:43:30, Couch motion sensor, on
08:43:31, Couch motion sensor, off
08:43:31, Couch motion sensor, on
08:43:31, Couch motion sensor, off
08:43:31, Couch motion sensor, on
08:43:31, Couch motion sensor, off
08:43:31, Couch motion sensor, on
08:43:31, Couch motion sensor, off
08:43:31, Couch motion sensor, on
08:43:31, Couch motion sensor, off
08:43:31, Couch motion sensor, on
08:43:32, TV remote control RFID tag, on
08:43:32, TV remote control RFID tag, off
08:43:32, Couch motion sensor, off
08:43:32, Couch motion sensor, on
08:43:34, Couch motion sensor, off
08:43:34, Couch motion sensor, on
08:43:34, TV remote control RFID tag, on
08:43:34, Couch motion sensor, off
08:43:34, TV remote control RFID tag, off
08:43:34, Couch motion sensor, on
08:43:34, TV remote control RFID tag, on
08:43:35, TV remote control RFID tag, off
08:43:35, Couch motion sensor, off
08:43:35, Couch motion sensor, on
08:43:36, Couch motion sensor, off
08:43:36, Couch motion sensor, on
08:43:36, Couch motion sensor, off
08:43:36, Couch motion sensor, on
08:43:36, Couch motion sensor, off
08:43:36, Couch motion sensor, on
08:43:36, Couch motion sensor, off
08:43:36, Couch motion sensor, on
08:43:36, Couch motion sensor, off
08:43:37, Couch motion sensor, on
08:43:37, Couch motion sensor, off
08:43:37, TV remote control RFID tag, on
08:43:37, TV remote control RFID tag, off
08:43:37, TV remote control RFID tag, on
08:43:37, TV remote control RFID tag, off
08:43:37, TV remote control RFID tag, on
08:43:37, TV remote control RFID tag, off
08:43:37, TV remote control RFID tag, on
08:43:37, TV remote control RFID tag, off
08:43:38, TV remote control RFID tag, on
08:43:38, TV remote control RFID tag, off
08:43:38, TV remote control RFID tag, on
08:43:38, TV remote control RFID tag, off
08:43:38, TV remote control RFID tag, on
08:43:38, TV remote control RFID tag, off
08:43:38, TV remote control RFID tag, on
08:43:38, TV remote control RFID tag, off
08:43:42, Computer chair motion sensor, on
08:43:42, Computer chair motion sensor, off
08:43:42, Computer chair motion sensor, on
08:43:42, Computer chair motion sensor, off
08:43:42, Computer chair motion sensor, on
08:43:42, Computer chair motion sensor, off
08:43:42, Computer chair motion sensor, on
08:43:42, Computer chair motion sensor, off
08:43:42, Computer chair motion sensor, on
08:43:42, Computer chair motion sensor, off
08:43:42, Computer chair motion sensor, on
08:43:42, Computer chair motion sensor, off
08:43:43, Computer chair motion sensor, on
08:43:43, Computer chair motion sensor, off
08:43:43, Computer chair motion sensor, on
08:43:43, Computer, on
08:43:43, Computer chair motion sensor, off
08:43:43, Computer chair motion sensor, on
08:43:43, Computer chair motion sensor, off
08:43:43, Computer chair motion sensor, on
08:43:44, Computer chair motion sensor, off
08:43:44, Computer chair motion sensor, on
08:43:45, Computer chair motion sensor, off
08:43:45, Computer chair motion sensor, on
08:43:45, Computer chair motion sensor, off
08:43:45, Computer chair motion sensor, on
08:43:46, Computer chair motion sensor, off
08:43:46, Computer chair motion sensor, on
08:43:46, Computer chair motion sensor, off
08:43:46, Computer chair motion sensor, on
08:43:46, Computer chair motion sensor, off
08:43:46, Computer chair motion sensor, on
08:43:47, Computer chair motion sensor, off
08:43:47, Computer chair motion sensor, on
08:43:47, Computer chair motion sensor, off
08:43:47, Computer chair motion sensor, on
08:43:47, Computer chair motion sensor, off
08:43:47, Computer chair motion sensor, on
08:43:48, Computer chair motion sensor, off
08:43:48, Computer chair motion sensor, on
08:43:49, Computer chair motion sensor, off
08:43:49, Computer chair motion sensor, on
08:43:49, Computer chair motion sensor, off
08:43:49, Computer chair motion sensor, on
08:43:49, Computer chair motion sensor, off
08:43:49, Computer chair motion sensor, on
08:43:49, Computer chair motion sensor, off
08:43:49, Computer chair motion sensor, on
08:43:49, Computer chair motion sensor, off
08:43:49, Computer chair motion sensor, on
